,gender,race,age,course,interest,hear_ccm_website,hear_social_media,hear_community_event,hear_family_friend,hear_ccm_student,hear_ccm_alumni,hear_hs_teacher,hear_hs_counselor,hear_in_app_ad,hear_employer,hear_billboard,hear_tv,hear_radio,hear_home_mail,hear_other,event_open_house,event_inst_dec_day,event_campus_info_sess,event_titans_tuesday_info_sess,event_women_who_dare,event_regional_college_fair,event_hs_sharetime_info_sess,event_challenger_program,event_cybersecurity_info_protection_program,event_hs_info_sess,event_campus_visit_w_hs,event_campus_visit,event_workforce_development_class,event_corporate_training,event_teen_arts_festival,event_ccm_summer_camp,event_hour_of_code
63,Man,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
64,Man,Black/African American,18 and younger,CMP 126 Computer Technology and Applications,3,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
65,Man,Hispanic or Latino,21-24,CMP 135 Computer Concepts with Applications,3,No,No,No,No,Yes,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,Man,Multi-Racial,25-34,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
67,Woman,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,3,Don't recall,Yes,No,Yes,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,Woman,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,3,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
69,Woman,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,Woman,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,2,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71,Woman,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,3,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,Man,Multi-Racial,25-34,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,Woman,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,3,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
74,Man,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,3,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
75,Man,Hispanic or Latino,19-20,CMP 135 Computer Concepts with Applications,3,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
76,Woman,White/Caucasian,19-20,CMP 101 Computer Information Literacy,3,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
77,Man,Hispanic or Latino,19-20,CMP 135 Computer Concepts with Applications,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
78,Man,Black/African American,25-34,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
79,Woman,Asian,21-24,CMP 135 Computer Concepts with Applications,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Not Sure,No,No,No,No,No,Yes,No,No,No,No,No
80,Man,Hispanic or Latino,21-24,CMP 135 Computer Concepts with Applications,2,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
81,Man,Multi-Racial,21-24,CMP 135 Computer Concepts with Applications,1,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
82,Woman,Hispanic or Latino,19-20,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
83,Woman,Hispanic or Latino,19-20,CMP 135 Computer Concepts with Applications,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
84,Man,White/Caucasian,25-34,CMP 135 Computer Concepts with Applications,2,Yes,Don't recall,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
85,Woman,Multi-Racial,18 and younger,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
86,Man,Hispanic or Latino,18 and younger,CMP 101 Computer Information Literacy,3,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
87,Woman,White/Caucasian,25-34,CMP 135 Computer Concepts with Applications,1,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,No
88,Man,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,3,Yes,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,No,Don't recall,Don't recall,Don't recall,Yes,Not Sure,Not Sure,Yes,No,No,Yes,No,No,No,Not Sure,No,Not Sure,Not Sure,Not Sure,No,No,Not Sure
89,Man,Multi-Racial,21-24,CMP 126 Computer Technology and Applications,2,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
90,Man,White/Caucasian,25-34,CMP 126 Computer Technology and Applications,2,No,No,No,Yes,Yes,Don't recall,Yes,Yes,Don't recall,No,Yes,Yes,Don't recall,Don't recall,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
91,Woman,White/Caucasian,19-20,CMP 101 Computer Information Literacy,3,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
92,Woman,White/Caucasian,18 and younger,CMP 101 Computer Information Literacy,1,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
93,Man,Hispanic or Latino,21-24,CMP 101 Computer Information Literacy,1,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
94,Man,Multi-Racial,18 and younger,CMP 101 Computer Information Literacy,2,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
95,Man,White/Caucasian,19-20,CMP 135 Computer Concepts with Applications,5,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure
96,Man,Asian,25-34,CMP 101 Computer Information Literacy,5,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Not Sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No
97,Man,Asian,19-20,CMP 135 Computer Concepts with Applications,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
98,Man,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,2,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
99,Woman,Asian,18 and younger,CMP 135 Computer Concepts with Applications,2,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
100,Woman,Asian,18 and younger,CMP 135 Computer Concepts with Applications,2,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
101,Woman,Black/African American,18 and younger,CMP 135 Computer Concepts with Applications,3,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
102,Woman,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
103,Woman,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
104,Woman,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,2,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Don't recall,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
105,Woman,Asian,18 and younger,CMP 135 Computer Concepts with Applications,1,Yes,Yes,No,Yes,No,No,Don't recall,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
106,Woman,Multi-Racial,18 and younger,CMP 135 Computer Concepts with Applications,3,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
107,Woman,Multi-Racial,18 and younger,CMP 135 Computer Concepts with Applications,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
108,Woman,Asian,18 and younger,CMP 135 Computer Concepts with Applications,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Don't recall,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
109,Woman,Asian,18 and younger,CMP 135 Computer Concepts with Applications,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
110,Woman,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,3,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
111,Woman,White/Caucasian,18 and younger,CMP 135 Computer Concepts with Applications,1,No,No,Yes,Don't recall,Don't recall,Don't recall,Yes,Yes,No,No,Yes,Yes,No,Don't recall,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
112,Woman,Hispanic or Latino,18 and younger,CMP 135 Computer Concepts with Applications,3,Yes,Don't recall,No,Yes,No,No,No,Don't recall,No,No,No,No,No,No,No,Yes,No,Not Sure,Not Sure,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
113,Woman,Multi-Racial,18 and younger,CMP 135 Computer Concepts with Applications,1,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure
114,Man,Hispanic or Latino,35-64,CMP 135 Computer Concepts with Applications,3,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Don't recall,Yes,No,Yes,No,No,No,No,No,No,No,Not Sure,Yes,No,No,No,No,No
115,Woman,Black/African American,25-34,CMP 135 Computer Concepts with Applications,5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
116,Woman,Multi-Racial,18 and younger,CMP 135 Computer Concepts with Applications,5,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No
117,Man,Asian,18 and younger,CMP 135 Computer Concepts with Applications,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
118,Man,White/Caucasian,21-24,CMP 135 Computer Concepts with Applications,2,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
119,Woman,Hispanic or Latino,18 and younger,CMP 135 Computer Concepts with Applications,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
120,Woman,Hispanic or Latino,21-24,CMP 135 Computer Concepts with Applications,1,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
121,Man,Black/African American,18 and younger,CMP 135 Computer Concepts with Applications,1,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
122,Woman,White/Caucasian,21-24,CMP 135 Computer Concepts with Applications,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
123,Man,Asian,21-24,CMP 135 Computer Concepts with Applications,3,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
124,Woman,Hispanic or Latino,18 and younger,CMP 135 Computer Concepts with Applications,1,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
125,Woman,Hispanic or Latino,21-24,CMP 135 Computer Concepts with Applications,3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Don't recall,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
126,Woman,Multi-Racial,21-24,CMP 135 Computer Concepts with Applications,2,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
127,Woman,Multi-Racial,19-20,CMP 135 Computer Concepts with Applications,1,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
128,Man,Hispanic or Latino,19-20,CMP 135 Computer Concepts with Applications,4,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
129,Woman,Hispanic or Latino,35-64,CMP 135 Computer Concepts with Applications,2,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
130,Woman,Hispanic or Latino,19-20,CMP 135 Computer Concepts with Applications,3,Don't recall,Don't recall,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
